target,class_name,num_examples,recall,num_correct
245,Common Loon (Nonbreeding/juvenile),60,0.0,0
289,Red-tailed Hawk (Light morph immature),60,0.0,0
367,Red-breasted Nuthatch,60,0.0,0
417,Northern Parula,60,0.0,0
430,Yellow-breasted Chat,60,0.0,0
458,Great-tailed Grackle,60,0.0,0
512,Blackpoll Warbler (Female/juvenile),60,0.0,0
291,Yellow-rumped Warbler (Breeding Myrtle),59,0.0,0
195,Red-naped Sapsucker,54,0.0,0
40,Double-crested Cormorant (Immature),52,0.0,0
413,MacGillivray's Warbler,46,0.0,0
520,Chipping Sparrow (Immature/nonbreeding adult),46,0.0,0
509,Magnolia Warbler (Female/immature male),45,0.0,0
19,Lesser Scaup (Breeding male),44,0.0,0
18,Greater Scaup (Breeding male),43,0.0,0
486,Plumbeous Vireo,41,0.0,0
41,Great Cormorant (Adult),40,0.0,0
252,Little Blue Heron (Immature),37,0.0,0
207,Ring-billed Gull (Immature),36,0.0,0
511,Chestnut-sided Warbler (Female/immature male),35,0.0,0
516,Harris's Sparrow (Immature),34,0.0,0
212,Great Black-backed Gull (Immature),32,0.0,0
513,Black-throated Blue Warbler (Female/Immature male),32,0.0,0
543,White-winged Crossbill (Female/juvenile),32,0.0,0
247,Red-necked Grebe (Nonbreeding/juvenile),31,0.0,0
510,"Bay-breasted Warbler (Female, Nonbreeding male, Immature)",29,0.0,0
521,Scarlet Tanager (Female/Nonbreeding Male),28,0.0,0
16,Redhead (Breeding male),27,0.0,0
309,Harris's Sparrow (Adult),27,0.0,0
208,Western Gull (Immature),26,0.0,0
209,California Gull (Immature),25,0.0,0
236,Barrow's Goldeneye (Female/Eclipse male),25,0.0,0
251,Great Cormorant (Immature),24,0.0,0
540,Cassin's Finch (Female/immature),24,0.0,0
381,Black-tailed Gnatcatcher,22,0.0,0
278,"Costa's Hummingbird (Female, immature)",21,0.0,0
221,Cinnamon Teal (Female/juvenile),20,0.0,0
249,Northern Gannet (Immature/Juvenile),20,0.0,0
307,Lark Bunting (Breeding male),19,0.0,0
298,Phainopepla (Female/juvenile),18,0.0,0
220,Blue-winged Teal  (Female/juvenile),17,0.0,0
551,Summer Tanager (Immature Male),17,0.0,0
202,"Black Guillemot (Nonbreeding, juvenile)",12,0.0,0
12,Northern Shoveler (Breeding male),60,0.016666666666666666,1
159,Semipalmated Sandpiper,60,0.016666666666666666,1
